vintage_yr,n_loans,naive_default_pct,still_current_pct,resolved_only_default_pct,mob12_default_pct
2007,603,26.2,0.0,26.2,9.62
2008,2393,20.73,0.0,20.73,9.15
2009,5281,13.69,0.0,13.69,6.12
2010,12537,14.01,0.0,14.01,4.41
2011,21721,15.18,0.0,15.18,4.03
2012,53367,16.2,0.0,16.2,5.13
2013,134814,15.59,0.0,15.6,4.23
2014,235629,17.47,5.06,18.45,4.66
2015,421095,18.0,10.28,20.18,5.27
2016,434407,15.71,30.86,23.28,6.31
2017,443579,8.83,59.03,23.12,5.66
2018,495242,1.79,86.26,15.75,
